jail_name,address,city,zip_code,fips_code
Anderson County Jail,1200 East Lacy Street,Palestine ,75801,48001
Andrews County Sheriff,201 North Main St. #113,Andrews,79714,48003
Angelina County Jail,2311 East Lufkin Avenue,Lufkin,75901,48005
Aransas County Jail,811 East Concho,Rockport,78382,48007
Archer County Sheriff,100 Law Enforcement Way,Archer City,76351,48009
Armstrong County Jail,110 West 1st Street,Claude,79019,48011
Atascosa County Jail,1108 Campbell Avenue,Jourdanton,78026,48013
Austin County Jail,417 North Chesley Street,Bellville,77418,48015
Bailey County Sheriff,405 West 2nd Street	,Muleshoe,79347,48017
Bandera County Jail,3360 State Highway 173 North,Bandera,78003,48019
Bastrop County Jail,1601 Mill Street	,Bastrop,78602,48021
Baylor County Sheriff,101 South Washington St. #11,Seymour,76380,48023
Bee County Sheriff,1509 Galloway Drive,Beeville,78102,48025
Bell County Jail,111 West Central Avenue,Belton,76513,48027
Bexar County Jail,200 North Comal Street,San Antonio,78207,48029
Blanco County Sheriff,400 US Hwy 281 South,Johnson City,78636,48031
Borden County Sheriff,140 Wilbourn Avenue,Gail,79738,48033
Bosque County Jail,266 FM 2840	,Meridian,76665,48035
Bowie County,101 North State Line/ 105 West Front Street,Texarkana,75501,48037
Brazoria County Jail,3602 County Road 45,Angleton,77515,48039
Brazos County Jail,1835 Sandy Point Road,Bryan,77807,48041
Brewster County Jail/Sheriff,307 West Sul Rosas Avenue/201 W Ave E,Alpine,78930,48043
Briscoe County Sheriff,201 W Ave E,Silverton,79257,48045
Brooks County Detention Center,901 County Road 201,Falfurrias,78355,48047
Brown County Jail,1050 West Commerce,Brownwood,76801,48049
Burleson County Jail,1334 Highway 21 East	,Caldwell,77836,48051
Burnet County Jail,900 County Lane	,Burnet,78611,48053
Burnet County Sheriff's Office,1601 East Polk Street,Burnet,78611,48053
Caldwell County Sheriff,1204 Reed Drive,Lockhart,78644,48055
Calhoun County Jail,211 S. Ann Street,Port Lavaca,77979,48057
Callahan County Sheriff's County ,432 Market Street,Baird,79504,48059
Cameron County Jail,954 E Harrison St,Brownsville,78520,48061
Cameron County Sheriff,3302 West Wilson Road,Harlingen,78552,48061
Camp County Sheriff ,203 Tapp Street	,Pittsburg,75686,48063
Carson County Sheriff,201 Hwy 60	,Panhandle,79068,48065
Cass County Jail,600 Highway 8 North,Linden,75563,48067
Castro County Sheriff,900 East Bedford	,Dimmitt,79027,48069
Chambers County Jail,201 North Court Street,Anahuac,77514,48071
Cherokee County Jail,272 Underwood Street,Rusk,75785,48073
Childress County Sheriff,1005 Avenue F NE	,Childress,79201,48075
Clay County Sheriff,215 West Gilbert Street,Henrietta,76365,48077
Coastal Bend Regional Detention Center CBDC,4909 FM 2826	,Robstown,78380,48355
Cochran County Sheriff,100 North Main Street	,Morton,79346,48079
Coke County Sheriff,13 East 7th Street,Robert Lee,76945,48081
Coleman County Jail,965 North US 283	,Coleman,76834,48083
Collin County Jail,4300 Community Avenue	,McKinney,75071,48085
Collingsworth County Sheriff,810 Belton Street	,Wellington,79095,48087
